IdLugarSalida,Lugar Salida,IdTranspSalidad,Transporte Internacional de Salida,FechaSalida,IdFecSalida,FechaEntrada,IdFecEntrada,IdNacionalidad,Pais,IdDeptoResidencia,Departamento,IdMotivo,Motivo,IdOcupacion,Ocupacion,IdNivelEstudio,Estudio,IdDestino,Destino,IdAlojamiento,Alojamiento,IdLugarIngreso,Lugar Ingreso,IdTranspIngreso,Transporte Internacional de Ingreso,IdTranspLocal,Trasporte Local,Estadia,Gente,GastoTotal,GastoAlojamiento,GastoAlimentacion,GastoTransporteInternac,GatoTransporteLocal,GastoCultural,GastoTours,GastoCompras,GastoResto,Coef,CoefTot
4,Chuy,2,Terrestre Auto,2017-06-19,13684,2017-06-26,13691,1,Uruguay,31,Maldonado,1,"Ocio, Recreo, Vacaciones",12,"Director, gerente",6.0,Terciaria completa,20,Brasil,1,Hotel,4,Chuy,2,Terrestre Auto,0,Sin Datos,7,2,988.0,631.67,356.33,12.0,0.0,0.0,0.0,0.0,0.0,62.31,124.62
1,Colonia,5,Maritimo - Fluvial,2017-03-27,13600,2017-03-30,13603,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,0,Sin Datos,3,4,2252.25,549.33,343.33,401.18,164.8,521.86,0.0,0.0,672.93,150.92,603.67
13,Rivera,2,Terrestre Auto,2018-05-30,14029,2018-06-04,14034,1,Uruguay,43,Tacuarembo,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,20,Brasil,6,Vivienda Familiares / Amigos,13,Rivera,2,Terrestre Auto,1,Auto propio,5,2,255.05,0.0,95.62,0.0,43.53,0.0,0.0,115.9,0.0,49.07,98.13
13,Rivera,2,Terrestre Auto,2024-03-08,16138,2024-03-14,16144,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,20,Brasil,1,Hotel,13,Rivera,2,Terrestre Auto,1,Auto propio,6,2,1000.0,278.96,204.67,0.0,72.73,240.13,0.0,203.5,0.0,146.62,293.23
1,Colonia,5,Maritimo - Fluvial,2024-07-08,16260,2024-07-11,16263,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,10,Argentina,30,Vivienda arrendada X plataforma,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,3,2,800.0,70.0,102.8,150.0,127.2,0.0,0.0,500.0,0.0,187.36,374.72
8,Paysandú,2,Terrestre Auto,2023-02-12,15748,2023-02-15,15751,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,11,"Patron, Com, Ind, Prod Agrop",5.0,Terciaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,2,400.0,0.0,120.0,0.0,46.45,33.87,0.0,150.0,49.69,406.25,812.51
10,Salto,2,Terrestre Auto,2023-04-02,15797,2023-04-06,15801,1,Uruguay,60,Salto,10,Compras,11,"Patron, Com, Ind, Prod Agrop",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,4,4,1612.76,0.0,406.25,0.0,474.45,262.88,0.0,469.17,0.0,596.27,2385.06
1,Colonia,5,Maritimo - Fluvial,2024-12-01,16406,2024-12-04,16409,1,Uruguay,21,Montevideo,10,Compras,25,Trabajador dependiente,,,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,3,2,800.0,190.31,171.27,0.0,174.7,0.0,0.0,263.72,0.0,571.58,1143.17
10,Salto,2,Terrestre Auto,2018-09-11,14133,2018-09-17,14139,1,Uruguay,43,Tacuarembo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,6,4,3600.0,1170.58,668.3,0.0,329.4,0.0,0.0,532.16,899.56,276.52,1106.09
7,Fray Bentos,3,Terrestre Bus,2017-05-05,13639,2017-05-09,13643,1,Uruguay,20,Canelones,2,Visita familiares / amigos,1,"Jubilado, Pensionista",6.0,Terciaria completa,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,4,2,159.13,0.0,48.8,0.0,19.1,0.0,0.0,0.0,91.23,81.96,163.92
1,Colonia,5,Maritimo - Fluvial,2017-03-13,13586,2017-03-16,13589,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,0,Sin Datos,3,1,260.0,63.0,16.5,150.0,55.5,77.5,0.0,40.0,7.5,150.92,150.92
8,Paysandú,2,Terrestre Auto,2025-01-08,16444,2025-01-13,16449,1,Uruguay,61,Paysandu,2,Visita familiares / amigos,27,Profesional dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,5,2,500.0,0.0,128.89,0.0,30.0,100.0,0.0,100.0,141.11,465.88,931.76
2,Puerto de montevideo,5,Maritimo - Fluvial,2022-07-30,15551,2022-08-06,15558,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,1,"Jubilado, Pensionista",6.0,Terciaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,7,1,300.0,0.0,300.0,140.0,0.0,0.0,0.0,0.0,0.0,585.93,585.93
1,Colonia,5,Maritimo - Fluvial,2020-02-02,14642,2020-02-09,14649,1,Uruguay,20,Canelones,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,7,1,420.56,0.0,210.28,90.03,0.0,39.43,0.0,50.9,119.95,288.44,288.44
3,Aeropuerto de Carrasco,1,Aereo,2019-10-14,14531,2019-10-22,14539,1,Uruguay,61,Paysandu,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",6.0,Terciaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,6,Otros,8,4,1162.44,0.0,0.0,0.0,0.0,0.0,0.0,1162.44,0.0,205.41,821.62
3,Aeropuerto de Carrasco,1,Aereo,2024-08-24,16307,2024-08-30,16313,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",,,31,Chile,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,6,2,1644.4,469.34,380.73,676.13,155.34,218.61,0.0,420.39,0.0,284.56,569.12
1,Colonia,5,Maritimo - Fluvial,2024-05-30,16221,2024-06-02,16224,1,Uruguay,21,Montevideo,10,Compras,25,Trabajador dependiente,,,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,3,2,600.0,140.89,128.15,0.0,133.63,0.0,0.0,197.33,0.0,127.13,254.25
10,Salto,2,Terrestre Auto,2019-10-05,14522,2019-10-09,14526,1,Uruguay,60,Salto,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,4,2,1066.69,396.4,150.0,0.0,20.0,100.0,0.0,100.0,300.29,167.12,334.24
3,Aeropuerto de Carrasco,1,Aereo,2017-09-17,13774,2017-09-27,13784,1,Uruguay,11,Saqn Jose,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",3.0,Secundaria incompleta,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,10,6,2105.4,792.52,234.82,1744.6,58.71,0.0,180.0,810.0,29.35,112.09,672.56
3,Aeropuerto de Carrasco,1,Aereo,2023-09-13,15961,2023-09-22,15970,1,Uruguay,21,Montevideo,9,Estudios,3,Estudiante,5.0,Terciaria incompleta,20,Brasil,5,Vivienda Arrendada,3,Aeropuerto de Carrasco,1,Aereo,2,Auto alquilado,9,2,1399.2,500.0,315.52,1600.0,300.0,0.0,0.0,209.15,74.53,225.42,450.83
8,Paysandú,2,Terrestre Auto,2017-04-08,13612,2017-04-17,13621,1,Uruguay,61,Paysandu,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,5,Vivienda Arrendada,8,Paysandú,2,Terrestre Auto,0,Sin Datos,9,6,3000.0,933.39,546.37,0.0,250.42,252.95,0.0,220.07,796.8,166.77,1000.61
7,Fray Bentos,2,Terrestre Auto,2022-04-19,15449,2022-04-27,15457,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",99,Otros,3.0,Secundaria incompleta,10,Argentina,5,Vivienda Arrendada,2,Puerto de montevideo,5,Maritimo - Fluvial,1,Auto propio,8,3,2000.0,500.0,252.11,350.0,305.18,200.0,0.0,400.0,342.71,226.4,679.2
3,Aeropuerto de Carrasco,1,Aereo,2020-02-25,14665,2020-03-08,14677,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,12,1,1500.0,560.77,298.05,1057.71,169.64,275.56,36.13,0.0,159.85,383.58,383.58
3,Aeropuerto de Carrasco,1,Aereo,2018-05-16,14015,2018-05-30,14029,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,14,2,1715.08,739.95,219.24,1586.0,54.81,73.42,0.0,627.66,0.0,211.05,422.1
8,Paysandú,2,Terrestre Auto,2025-03-22,16517,2025-03-28,16523,1,Uruguay,60,Salto,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,6,2,673.33,0.0,152.34,0.0,154.61,0.0,0.0,117.29,249.09,448.08,896.16
3,Aeropuerto de Carrasco,1,Aereo,2017-04-02,13606,2017-04-14,13618,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,33,Centro y Norte America,1,Hotel,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,12,4,3452.0,1228.5,364.0,3416.0,591.5,68.0,0.0,1200.0,0.0,119.64,478.57
8,Paysandú,2,Terrestre Auto,2025-08-25,16673,2025-08-29,16677,1,Uruguay,20,Canelones,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",,,10,Argentina,5,Vivienda Arrendada,8,Paysandú,2,Terrestre Auto,1,Auto propio,4,2,400.0,105.29,93.47,0.0,93.29,0.0,0.0,107.95,0.0,340.98,681.95
10,Salto,2,Terrestre Auto,2025-04-12,16538,2025-04-14,16540,1,Uruguay,60,Salto,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,2,1,141.83,0.0,42.85,0.0,0.0,0.0,0.0,98.98,0.0,247.72,247.72
1,Colonia,5,Maritimo - Fluvial,2017-12-27,13875,2018-01-03,13882,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",14,"Jefe, Capataz, Encargado",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,7,1,74.22,0.0,51.59,19.55,0.0,0.0,0.0,22.63,0.0,229.44,229.44
8,Paysandú,2,Terrestre Auto,2022-06-29,15520,2022-07-04,15525,10,Argentina,61,Paysandu,2,Visita familiares / amigos,14,"Jefe, Capataz, Encargado",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,5,1,535.9,0.0,150.0,0.0,60.0,50.0,0.0,100.0,175.9,1258.45,1258.45
10,Salto,2,Terrestre Auto,2017-07-14,13709,2017-07-17,13712,1,Uruguay,60,Salto,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,0,Sin Datos,3,3,279.32,0.0,156.69,0.0,74.94,0.0,0.0,0.0,47.69,131.33,393.99
3,Aeropuerto de Carrasco,1,Aereo,2024-02-20,16121,2024-02-27,16128,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,25,Trabajador dependiente,,,31,Chile,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,7,1,1000.0,0.0,410.07,0.0,0.0,201.82,0.0,388.11,0.0,413.73,413.73
2,Puerto de montevideo,5,Maritimo - Fluvial,2018-07-14,14074,2018-07-16,14076,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",13,"Prof, Tecnico, Docente, Artista",6.0,Terciaria completa,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,3,Taxi - Bus,2,3,600.0,164.57,93.02,370.96,43.76,101.54,30.54,0.0,166.57,240.67,722.0
5,Carmelo,5,Maritimo - Fluvial,2024-09-30,16344,2024-10-14,16358,1,Uruguay,10,Colonia,2,Visita familiares / amigos,1,"Jubilado, Pensionista",,,10,Argentina,6,Vivienda Familiares / Amigos,5,Carmelo,5,Maritimo - Fluvial,4,Auto familiares / amigos,14,1,120.35,0.0,0.0,0.0,0.0,0.0,0.0,120.35,0.0,26.14,26.14
3,Aeropuerto de Carrasco,1,Aereo,2017-10-11,13798,2017-10-18,13805,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",5.0,Terciaria incompleta,20,Brasil,5,Vivienda Arrendada,3,Aeropuerto de Carrasco,1,Aereo,3,Taxi - Bus,7,2,1268.02,400.0,228.32,800.0,110.53,200.0,0.0,122.0,207.17,106.1,212.2
8,Paysandú,2,Terrestre Auto,2017-03-23,13596,2017-03-27,13600,1,Uruguay,40,Durazno,1,"Ocio, Recreo, Vacaciones",15,"Obrero esp, Conductor, Artesano",4.0,Secundaria completa,10,Argentina,2,Appart Hotel,10,Salto,2,Terrestre Auto,0,Sin Datos,4,4,985.36,351.91,138.31,0.0,66.39,157.67,0.0,0.0,271.08,100.29,401.15
1,Colonia,5,Maritimo - Fluvial,2024-09-23,16337,2024-10-05,16349,10,Argentina,31,Maldonado,2,Visita familiares / amigos,26,Profesional independiente,,,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,12,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.38,1064.75
10,Salto,2,Terrestre Auto,2017-10-20,13807,2017-10-23,13810,1,Uruguay,51,Artigas,2,Visita familiares / amigos,11,"Patron, Com, Ind, Prod Agrop",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,2,224.25,0.0,34.68,0.0,22.81,50.32,0.0,48.24,68.19,206.18,412.37
8,Paysandú,2,Terrestre Auto,2018-08-20,14111,2018-08-23,14114,1,Uruguay,61,Paysandu,6,Religion y Peregrinaciones,22,Religioso,5.0,Terciaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,2,143.65,0.0,97.43,0.0,46.22,0.0,0.0,0.0,0.0,529.01,1058.02
2,Puerto de montevideo,5,Maritimo - Fluvial,2018-03-12,13950,2018-03-13,13951,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,11,"Patron, Com, Ind, Prod Agrop",6.0,Terciaria completa,10,Argentina,1,Hotel,2,Puerto de montevideo,5,Maritimo - Fluvial,3,Taxi - Bus,1,2,400.0,159.6,98.07,199.85,47.17,0.0,0.0,0.0,95.16,353.31,706.61
7,Fray Bentos,3,Terrestre Bus,2017-07-22,13717,2017-07-26,13721,1,Uruguay,21,Montevideo,3,Trabajo / Profesion,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,1,Hotel,7,Fray Bentos,3,Terrestre Bus,0,Sin Datos,4,1,345.0,133.0,74.44,12.0,35.6,46.12,0.0,55.83,0.0,79.92,79.92
13,Rivera,2,Terrestre Auto,2022-10-13,15626,2022-10-17,15630,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,11,"Patron, Com, Ind, Prod Agrop",7.0,Otros,20,Brasil,6,Vivienda Familiares / Amigos,13,Rivera,2,Terrestre Auto,1,Auto propio,4,2,800.0,0.0,172.78,0.0,47.02,313.32,0.0,266.87,0.0,72.78,145.56
10,Salto,2,Terrestre Auto,2019-10-08,14525,2019-10-14,14531,1,Uruguay,60,Salto,1,"Ocio, Recreo, Vacaciones",16,"Empl. Adm, Cajero, Vendedor",5.0,Terciaria incompleta,10,Argentina,1,Hotel,10,Salto,2,Terrestre Auto,1,Auto propio,6,3,3838.72,891.9,834.14,0.0,831.71,0.0,0.0,605.31,675.66,167.12,501.37
10,Salto,2,Terrestre Auto,2023-03-12,15776,2023-03-15,15779,1,Uruguay,60,Salto,2,Visita familiares / amigos,2,Ama de casa,4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,10,Salto,2,Terrestre Auto,1,Auto propio,3,2,200.0,0.0,53.75,0.0,63.47,0.0,0.0,82.77,0.0,299.89,599.78
13,Rivera,2,Terrestre Auto,2018-08-30,14121,2018-09-04,14126,1,Uruguay,53,Rivera,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",4.0,Secundaria completa,20,Brasil,2,Appart Hotel,13,Rivera,2,Terrestre Auto,1,Auto propio,5,4,790.0,350.0,300.0,0.0,100.0,0.0,0.0,0.0,40.0,72.13,288.53
7,Fray Bentos,2,Terrestre Auto,2025-04-21,16547,2025-04-25,16551,10,Argentina,11,Saqn Jose,2,Visita familiares / amigos,25,Trabajador dependiente,,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,4,1,500.0,0.0,200.0,0.0,40.0,100.0,0.0,80.12,79.88,195.58,195.58
7,Fray Bentos,2,Terrestre Auto,2024-03-01,16131,2024-03-08,16138,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,10,Argentina,30,Vivienda arrendada X plataforma,7,Fray Bentos,2,Terrestre Auto,1,Auto propio,7,4,8000.0,1753.26,1611.33,0.0,1713.31,0.0,0.0,1063.37,1858.74,297.73,1190.92
7,Fray Bentos,2,Terrestre Auto,2019-08-23,14479,2019-08-26,14482,1,Uruguay,10,Colonia,1,"Ocio, Recreo, Vacaciones",4,Rentista,5.0,Terciaria incompleta,10,Argentina,1,Hotel,8,Paysandú,2,Terrestre Auto,1,Auto propio,3,5,500.0,180.0,160.0,0.0,45.0,26.06,0.0,40.8,48.15,211.47,1057.36
1,Colonia,5,Maritimo - Fluvial,2024-12-06,16411,2024-12-10,16415,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",25,Trabajador dependiente,,,10,Argentina,1,Hotel,1,Colonia,5,Maritimo - Fluvial,3,Taxi - Bus,4,1,500.0,129.63,116.66,0.0,118.99,0.0,0.0,134.72,0.0,571.58,571.58
7,Fray Bentos,3,Terrestre Bus,2023-07-29,15915,2023-08-01,15918,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,2,Ama de casa,3.0,Secundaria incompleta,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,4,Auto familiares / amigos,3,1,317.03,0.0,105.68,75.3,0.0,0.0,0.0,117.63,93.72,278.63,278.63
3,Aeropuerto de Carrasco,1,Aereo,2017-03-11,13584,2017-03-16,13589,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,31,Chile,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,0,Sin Datos,5,2,900.0,0.0,316.03,560.0,171.76,0.0,0.0,412.21,0.0,116.24,232.48
3,Aeropuerto de Carrasco,1,Aereo,2025-04-19,16545,2025-04-22,16548,1,Uruguay,20,Canelones,2,Visita familiares / amigos,1,"Jubilado, Pensionista",,,10,Argentina,6,Vivienda Familiares / Amigos,3,Aeropuerto de Carrasco,1,Aereo,4,Auto familiares / amigos,3,1,507.7,0.0,150.0,198.0,0.0,70.0,0.0,200.0,87.7,302.77,302.77
18,Río Branco,2,Terrestre Auto,2024-04-05,16166,2024-04-10,16171,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,25,Trabajador dependiente,,,20,Brasil,6,Vivienda Familiares / Amigos,18,Río Branco,2,Terrestre Auto,1,Auto propio,5,2,519.76,0.0,207.91,0.0,103.95,0.0,0.0,167.65,40.25,133.71,267.42
7,Fray Bentos,3,Terrestre Bus,2017-12-07,13855,2017-12-13,13861,1,Uruguay,21,Montevideo,2,Visita familiares / amigos,15,"Obrero esp, Conductor, Artesano",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,4,Auto familiares / amigos,6,2,211.53,0.0,87.89,200.0,0.0,55.94,0.0,67.69,0.0,94.23,188.45
18,Río Branco,2,Terrestre Auto,2024-07-12,16264,2024-07-22,16274,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",11,"Patron, Com, Ind, Prod Agrop",,,20,Brasil,30,Vivienda arrendada X plataforma,18,Río Branco,2,Terrestre Auto,1,Auto propio,10,4,2200.0,751.69,545.31,0.0,193.79,383.88,0.0,325.33,0.0,253.88,1015.53
7,Fray Bentos,3,Terrestre Bus,2025-03-30,16525,2025-04-06,16532,1,Uruguay,21,Montevideo,1,"Ocio, Recreo, Vacaciones",1,"Jubilado, Pensionista",,,10,Argentina,6,Vivienda Familiares / Amigos,7,Fray Bentos,3,Terrestre Bus,3,Taxi - Bus,7,2,898.26,0.0,425.49,198.56,47.28,72.13,0.0,128.74,224.62,173.83,347.66
1,Colonia,5,Maritimo - Fluvial,2019-03-27,14330,2019-04-01,14335,1,Uruguay,20,Canelones,2,Visita familiares / amigos,16,"Empl. Adm, Cajero, Vendedor",4.0,Secundaria completa,10,Argentina,6,Vivienda Familiares / Amigos,1,Colonia,5,Maritimo - Fluvial,4,Auto familiares / amigos,5,1,175.77,0.0,110.08,124.51,0.0,65.69,0.0,0.0,0.0,324.35,324.35
